respid,collect.id,startdate,enddate,freq.visit,freq.other,access.train,access.unitrans,access.amtrakbus,access.park,access.enjoy,access.other,time.visit,time.other,duration.visit,who.with,with.other,tripstart,start.other,tripend,end.other,zip,access.mode,access.other,walk.far,walk.issues,walk.weather,walk.safety,walk.facilities,bike.facilities,bike.far,bike.notown,bike.network,bike.safety,bike.ability,bike.weather,bike.amenities,bike.issues,bike.never,bike.parking,transit.farhome,transit.farwork,transit.time,transit.costs,transit.complex,transit.safety,transit.routes,transit.times,transit.frequency,transit.parkingcheap,transit.never,transit.unreliable,safety.satisfied,bike.satisfied,walk.satisfied,transit.satisfied,driving.satisfied,parking.satisfied,activity.satisfied,architecture.enjoy,access.enjoy,clean.enjoy,quiet.ejoy,lively.enjoy,parking.enjoy,useful.enjoy,other.enjoy,bus.support,signs.support,pedestrian.support,dropoff.support,bikepark.support,carpark.support,bathroom.support,art.support,coffee.support,bikevalet.support,stores.support,housing.support,office.support,plaza.support,cultural.support,evcharge.support,indoorbike.support,openresponse,noneed.prevent,difficult.prevent,parking.prevent,safety.prevent,trainservice.prevent,activity.prevent,bus.encourage,signs.encourage,pedestrain.encourage,dropoff.encourage,bikepark.encourage,carpark.encourage,bathroom.encourage,art.encourage,coffee.encourage,bikevalet.enocurage,store.encourage,housing.encourage,office.encourage,activespace.encourage,performance.encourage,openspace.encourage,plaza.encourage,cultural.encourage,evcharge.encourage,trainservice.encourage,future.vision,zipcode,updates,gender,gender.other,lgbt,asian,black.african,Caucasian,hispanic.latinx,native.american,pacific.island,ethnicity.notsay,ethnicity.other,age,hh.ft.wrkr,hhincome,hhvehicles
10831795934,235066737,2019-06-30 9:07:42,2019-06-30 9:11:52,Once a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,Evening only,,5 minutes or less,I'm always alone.,,Bay Area,,Bay Area,,95117,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Historic architecture,Easy to access location,Clean and well-maintained,Quiet,,Convenient parking,Useful transportation services,,Strongly support,Strongly support,Strongly support,Oppose,Support,Strongly support,Strongly support,Strongly support,Strongly support,Support,Strongly oppose,Oppose,Oppose,Strongly support,Oppose,Strongly support,Strongly support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,,No,Asian,,,,,Pacific Islander,,,18-24,1,"Between $75,000 and $99,999",1
10831791013,235066737,2019-06-30 9:01:50,2019-06-30 9:14:50,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,To enjoy the public spaces at the station.,,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95616,I drive with others,,First reason,Second reason,Third reason,,,,First reason,,,Third reason,,,,Second reason,,,,,First reason,,Third reason,,,,Second reason,,,,Satisfied,Neutral,Neutral,Dissatisfied,Neutral,Dissatisfied,Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,Quiet,,,Useful transportation services,,Support,Support,Neutral,Support,Support,Support,Support,Neutral,Support,Support,Support,Support,Oppose,Neutral,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,,No,,,Caucasian,,,,,,65+,0,"Between $100,000 and $150,000",2
10831661029,235066737,2019-06-30 6:17:00,2019-06-30 6:24:12,Once a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,"Sacramento County (Sacramento, Elk Grove, Rancho Cordova, Citrus Heights, etc.)",,95616,I bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,,Easy to access location,,,,,,,Support,Support,Support,Neutral,Support,Neutral,Support,Support,Neutral,Support,Neutral,Oppose,Neutral,Support,Support,Support,Support,Nothing special ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,,No,,,Caucasian,,,,,,55-64,,,1
10831657488,235066737,2019-06-30 6:12:00,2019-06-30 6:20:25,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Weekends and/or holidays,,30 minutes - 1 hour,"I travel with a friend, colleague, or family member.",,"Sacramento County (Sacramento, Elk Grove, Rancho Cordova, Citrus Heights, etc.)",,Bay Area,,95843,I drive alone,,First reason,Second reason,,Third reason,,Third reason,,,,,,,,Second reason,,First reason,First reason,,,,,,,Second reason,Third reason,,,,Satisfied,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Satisfied,Historic architecture,,,,,,,,Support,Support,Support,Support,Strongly support,Strongly support,Support,Neutral,Support,Support,Oppose,Neutral,Oppose,Oppose,Neutral,Neutral,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,55-64,1,"Between $75,000 and $99,999",2
10831474079,235066737,2019-06-30 1:08:24,2019-06-30 1:20:51,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,To access Amtrak bus connections.,,,,During the day,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,Bay Area,,95616,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Neutral,,Easy to access location,Clean and well-maintained,Quiet,,,Useful transportation services,,Strongly support,Support,Strongly support,Support,Strongly support,Strongly support,Strongly support,Support,Strongly support,Strongly support,Neutral,Oppose,Oppose,Neutral,Neutral,Neutral,Strongly support,Make sure all parking bike/car is safe and cheap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,Caucasian,Hispanic/Latinx,,,,,18-24,1,"Between $30,000 and $49,999",0
10831442157,235066737,2019-06-30 0:12:24,2019-06-30 0:15:33,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Somewhat false,True,Somewhat true,Somewhat false,Neither true nor false,Probably not,Probably not,Maybe,Maybe,Maybe,Yes,Maybe,Probably not,Maybe,Yes,Probably not,Definitely not,Definitely not,Maybe,Yes,Maybe,Maybe,Maybe,Definitely not,Maybe,Protection for bikes parked there,95843,No,Female,,No,,,Caucasian,,,,,,18-24,1,"Between $30,000 and $49,999",1
10831401153,235066737,2019-06-29 22:46:07,2019-06-29 22:53:58,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,Somewhat true,Somewhat true,False,Probably not,Yes,Yes,Yes,Probably not,Definitely not,Yes,Yes,Maybe,Probably not,Maybe,Definitely not,Probably not,Yes,Maybe,Yes,Yes,Yes,Maybe,Maybe,Update the color and cleaning up more around the train station. Also some cleaning up at the waiting room.   ,95616,No,Female,,No,,,,,,,Prefer not to say,,25-34,1,"Between $15,000 and $29,999",1
10831370547,235066737,2019-06-29 21:38:45,2019-06-29 21:43:40,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,"Somewhere else in Yolo County (Woodland, West Sacramento, etc.)",,,,95776,I drive with others,,First reason,,,,,,First reason,,,,,,,,,,,,Second reason,,First reason,Third reason,,,,,,,Satisfied,,,,Satisfied,Satisfied,Neutral,,,,,,Convenient parking,Useful transportation services,,,Support,,,,Support,,Support,Support,,,,,,,,,Reliability of trains is a big barrier to use. Anything to make them run on time is crucial. Better countdown clocks with updates. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,
10831359870,235066737,2019-06-29 21:17:45,2019-06-29 21:21:17,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither true nor false,Neither true nor false,Neither true nor false,Neither true nor false,Somewhat true,Neither true nor false,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Maybe,Yes,Probably not,Yes,Probably not,Probably not,Maybe,,Maybe,Maybe,Maybe,Maybe,Yes,,95616,,Female,,No,,,Caucasian,,,,,,55-64,1,"Over $150,000",3
10831185488,235066737,2019-06-29 15:56:45,2019-06-29 16:17:13,5 or more days a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5 minutes or less,I'm always alone.,,Somewhere else in Davis,,Somewhere else in Davis,,95618,I get picked up/dropped off by a friend or family member,,Third reason,,First reason,,Second reason,,,Third reason,First reason,Second reason,,,,,,,,,First reason,Second reason,Third reason,,,,,,,,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Historic architecture,,,,,,,,Strongly support,Support,Strongly support,Strongly oppose,Support,Support,Strongly support,Support,Oppose,Support,Neutral,Oppose,Oppose,Neutral,Neutral,Support,Support,"There is only one way in and out. It would be nice to have another entrance. And to make it very clear that the current entrance is not a drop off area. I mean as soon as you drive in.  Lyft drivers drop off their clients right at the current entrance. They do not go to the designated drop off area.This is a problem because drivers behind them need to go in the lane that goes in the opposite direction to drive around the lyft driver. . If you drive around the Lyft driver, you cannot see if there is a car driving around the corner. It's very frustrating to have lyft or anyone else drop people off right at the entrance to the parking lot. It happens a lot. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,25-34,2,"Between $50,000 and $74,999",1
10831181492,235066737,2019-06-29 15:50:14,2019-06-29 16:12:28,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,To enjoy the public spaces at the station.,,Morning and evening,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Downtown Davis,,95618,Other (please specify),Bike and drop off by family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Neutral,Satisfied,,Neutral,,Satisfied,Historic architecture,,,,,,Useful transportation services,,Support,Support,Neutral,Strongly support,Strongly support,Strongly support,Strongly support,Neutral,Neutral,Support,Oppose,Oppose,Oppose,Neutral,Neutral,Strongly support,Strongly support,"Someday the train will be more modern - electrified and providing commuter service to Sac as well as the Bay Area. We ought to build toward that vision, something like the downtown stations in Europe. Focus on its use as a transportation hub and its connections to town rather than duplicating town functions like housing and retail here. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,,No,,,Caucasian,,,,,,65+,2,"Between $100,000 and $150,000",2
10831181172,235066737,2019-06-29 15:49:06,2019-06-29 16:12:46,Once a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,Morning and evening,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Somewhere else in Davis,,95618,Other (please specify),"Bike, dropped off, in car with others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied,Neutral,Satisfied,Neutral,Historic architecture,,,,,,Useful transportation services,,Support,Strongly support,Strongly support,Strongly support,Strongly support,Neutral,Strongly support,Strongly support,Strongly support,Strongly support,Support,Oppose,Neutral,Strongly support,Strongly support,Strongly support,Strongly support,"Pedestrian and bike access tunnels to east and south neighborhoods like the tunnels that Dutch expert showed in February.  Minimal hidden stacked parking, visible shopping, cafe space, with central plaza with more shade, that connects back to downtown, improve upkeep of space around art benches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,55-64,2,"Between $100,000 and $150,000",2
10831169872,235066737,2019-06-29 15:31:36,2019-06-29 15:36:00,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat false,Somewhat true,True,Somewhat true,True,True,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Probably not,Maybe,Maybe,Maybe,Definitely not,Definitely not,Probably not,Probably not,Probably not,Maybe,Maybe,Definitely not,Yes,"It would be nice if it were more friendly looking in terms of entrance and exit, right now it's really difficult to tell where the office is. It would also be nice if the seating were more comfortable and there were more places to sit outside to wait for the train.",95618,No,Female,,Yes,,,Caucasian,,,,,,45-54,3,"Between $15,000 and $29,999",1
10831139306,235066737,2019-06-29 14:46:10,2019-06-29 14:46:20,Once a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10831111807,235066737,2019-06-29 14:06:37,2019-06-29 14:08:03,Once a week,,,,,I park at the station when I visit Downtown Davis.,To enjoy the public spaces at the station.,,Weekends and/or holidays,,5 minutes or less,I'm always alone.,,"Somewhere else in Yolo County (Woodland, West Sacramento, etc.)",,Downtown Davis,,95695,I drive alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10831110953,235066737,2019-06-29 14:05:21,2019-06-29 14:11:23,2 to 4 days a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Weekends and/or holidays,,5-30 minutes,I'm always alone.,,Downtown Davis,,Bay Area,,95618,I drive alone,,,,First reason,Second reason,,,,,,,First reason,,,,,,,,,First reason,,,,Second reason,,,,,Very Satisfied,,Dissatisfied,Dissatisfied,Very Satisfied,Dissatisfied,Very Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,,,Convenient parking,,,Strongly support,Neutral,Support,Support,Support,Strongly support,Support,Support,Strongly support,Support,Neutral,Support,Support,Support,Support,Neutral,Neutral,"I'd be happy to walk from my house to the train station if 1) there were more trees around Davis to provide shade and cover in the summer and 2) there were many more lights at night or in the wintertime. I live in South Davis and it's a 30-minute walk. If not, if taking the bus to the station were free, I'd do that too instead of driving. I have to drive to try to solve these issues :(",,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,,Hispanic/Latinx,,,,,45-54,1,"Between $75,000 and $99,999",1
10831106559,235066737,2019-06-29 13:58:57,2019-06-29 14:05:58,Once a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,Morning and evening,,More than 1 hour,I'm always alone.,,Downtown Davis,,Downtown Davis,,95616,I drive alone,,Third reason,,,First reason,Second reason,First reason,,,,Second reason,,,,,,Third reason,,Third reason,,,,Second reason,,,,,First reason,,Neutral,Neutral,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Neutral,,Easy to access location,,,,Convenient parking,,,Neutral,Support,Support,Strongly support,Neutral,Strongly support,Strongly support,Neutral,Strongly support,Strongly support,Support,Neutral,Neutral,Neutral,Support,Neutral,Support,More parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,Caucasian,,,,,,25-34,3,"Under $15,000",2
10830923496,235066737,2019-06-29 9:59:22,2019-06-29 10:03:00,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,Bay Area,,95616,I get picked up/dropped off by a taxi/Uber/Lyft,,First reason,,,,,,First reason,,,,,,,,,,,,First reason,,Second reason,,,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Neutral,Historic architecture,,Clean and well-maintained,Quiet,,,Useful transportation services,,Support,Neutral,Neutral,Neutral,Neutral,Neutral,Support,Support,Support,Neutral,Neutral,Neutral,Neutral,Support,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10830923423,235066737,2019-06-29 9:59:08,2019-06-29 9:59:19,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10830858673,235066737,2019-06-29 8:45:13,2019-06-29 9:07:46,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,Other (please specify),"Home in Davis, or Sacramento",Other (please specify),"Bay area, or somewhere in Davis",95616,Other (please specify),"Own bike, JUMP bike, Lyft, own car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Neutral,Historic architecture,Easy to access location,,,,,Useful transportation services,,Neutral,Neutral,Neutral,Strongly support,Strongly support,Support,Neutral,Support,Oppose,Neutral,Oppose,Oppose,Neutral,Neutral,Oppose,Neutral,Oppose,"1. Need first/last mile connection to the train station. Bike sharing is good, but there are currently not enough Jump bike at the station.  2. Better bus connection is good, but it is useless if the bus schedule doesn't match the train schedule.   3. Can develop the station to a transit hub, with different transportation modes, and provide better first/last mile connection.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,Asian,,,,,,,,45-54,2,"Between $100,000 and $150,000",1
10830706447,235066737,2019-06-29 5:54:53,2019-06-29 5:57:31,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat false,Somewhat true,False,Neither true nor false,Somewhat false,Somewhat true,Probably not,Maybe,Yes,Maybe,Yes,Probably not,Maybe,Definitely not,Yes,Maybe,Maybe,Probably not,Maybe,Probably not,Probably not,Definitely not,Probably not,Definitely not,Probably not,Maybe,,93033,No,Male,,No,Asian,,,,,,,,25-34,2,"Between $50,000 and $74,999",4 or more
